id,zipcode,name,country_id/id,state_id/id
8310_Assebroek,8310,Assebroek,base.be,l10n_be.state_be_vwv
1007_AssembleeDeLaCommissionCommunautaireFrancaise,1007,Assemblée De La Commission Communautaire Française,base.be,
9960_Assenede,9960,Assenede,base.be,l10n_be.state_be_vov
6860_Assenois,6860,Assenois,base.be,l10n_be.state_be_wlx
3460_Assent,3460,Assent,base.be,l10n_be.state_be_vbr
5330_Assesse,5330,Assesse,base.be,l10n_be.state_be_wna
9800_Astene,9800,Astene,base.be,l10n_be.state_be_vov
7800_Ath,7800,Ath,base.be,l10n_be.state_be_wht
7387_Athis,7387,Athis,base.be,l10n_be.state_be_wht
6791_Athus,6791,Athus,base.be,l10n_be.state_be_wlx
3404_Attenhoven,3404,Attenhoven,base.be,l10n_be.state_be_vbr
3384_Attenrode,3384,Attenrode,base.be,l10n_be.state_be_vbr
6717_Attert,6717,Attert,base.be,l10n_be.state_be_wlx
7941_Attre,7941,Attre,base.be,l10n_be.state_be_wht
6790_Aubange,6790,Aubange,base.be,l10n_be.state_be_wlx
7972_Aubechies,7972,Aubechies,base.be,l10n_be.state_be_wht
4880_Aubel,4880,Aubel,base.be,l10n_be.state_be_wlg
5660_Aublain,5660,Aublain,base.be,l10n_be.state_be_wna
6880_AubySurSemois,6880,Auby-Sur-Semois,base.be,l10n_be.state_be_wlx
7382_Audregnies,7382,Audregnies,base.be,l10n_be.state_be_wht
7040_Aulnois,7040,Aulnois,base.be,l10n_be.state_be_wht
6706_Autelbas,6706,Autelbas,base.be,l10n_be.state_be_wlx
1367_AutreEglise,1367,Autre-Eglise,base.be,l10n_be.state_be_wbr
7387_Autreppe,7387,Autreppe,base.be,l10n_be.state_be_wht
5060_Auvelais,5060,Auvelais,base.be,l10n_be.state_be_wna
5580_AveEtAuffe,5580,Ave-Et-Auffe,base.be,l10n_be.state_be_wna
8630_Avekapelle,8630,Avekapelle,base.be,l10n_be.state_be_vwv
8580_Avelgem,8580,Avelgem,base.be,l10n_be.state_be_vwv
4260_Avennes,4260,Avennes,base.be,l10n_be.state_be_wlg
3271_Averbode,3271,Averbode,base.be,l10n_be.state_be_vbr
4280_AvernasLeBauduin,4280,Avernas-Le-Bauduin,base.be,l10n_be.state_be_wlg
4280_Avin,4280,Avin,base.be,l10n_be.state_be_wlg
4340_Awans,4340,Awans,base.be,l10n_be.state_be_wlg
6870_Awenne,6870,Awenne,base.be,l10n_be.state_be_wlx
4400_Awirs,4400,Awirs,base.be,l10n_be.state_be_wlg
6900_Aye,6900,Aye,base.be,l10n_be.state_be_wlx
4630_Ayeneux,4630,Ayeneux,base.be,l10n_be.state_be_wlg
4920_Aywaille,4920,Aywaille,base.be,l10n_be.state_be_wlg
9890_Baaigem,9890,Baaigem,base.be,l10n_be.state_be_vov
3128_Baal,3128,Baal,base.be,l10n_be.state_be_vbr
9310_Baardegem,9310,Baardegem,base.be,l10n_be.state_be_vov
2387_BaarleHertog,2387,Baarle-Hertog,base.be,l10n_be.state_be_van
9200_Baasrode,9200,Baasrode,base.be,l10n_be.state_be_vov
9800_BachteMariaLeerne,9800,Bachte-Maria-Leerne,base.be,l10n_be.state_be_vov
4837_Baelen,4837,Baelen,base.be,l10n_be.state_be_wlg
5550_Bagimont,5550,Bagimont,base.be,l10n_be.state_be_wna
6464_Baileux,6464,Baileux,base.be,l10n_be.state_be_wht
6460_Bailievre,6460,Bailièvre,base.be,l10n_be.state_be_wht
5555_Baillamont,5555,Baillamont,base.be,l10n_be.state_be_wna
7730_Bailleul,7730,Bailleul,base.be,l10n_be.state_be_wht
5377_Baillonville,5377,Baillonville,base.be,l10n_be.state_be_wna
7380_Baisieux,7380,Baisieux,base.be,l10n_be.state_be_wht
1470_BaisyThy,1470,Baisy-Thy,base.be,l10n_be.state_be_wbr
5190_Balatre,5190,Balâtre,base.be,l10n_be.state_be_wna
9860_Balegem,9860,Balegem,base.be,l10n_be.state_be_vov
2490_Balen,2490,Balen,base.be,l10n_be.state_be_van
9420_Bambrugge,9420,Bambrugge,base.be,l10n_be.state_be_vov
6951_Bande,6951,Bande,base.be,l10n_be.state_be_wlx
6500_Barbencon,6500,Barbençon,base.be,l10n_be.state_be_wht
4671_Barchon,4671,Barchon,base.be,l10n_be.state_be_wlg
5570_Baronville,5570,Baronville,base.be,l10n_be.state_be_wna
7534_Barry,7534,Barry,base.be,l10n_be.state_be_wht
5370_BarvauxCondroz,5370,Barvaux-Condroz,base.be,l10n_be.state_be_wna
6940_BarvauxSurOurthe,6940,Barvaux-Sur-Ourthe,base.be,l10n_be.state_be_wlx
4520_BasOha,4520,Bas-Oha,base.be,l10n_be.state_be_wlg
7971_Basecles,7971,Basècles,base.be,l10n_be.state_be_wht
4983_BasseBodeux,4983,Basse-Bodeux,base.be,l10n_be.state_be_wlg
4690_Bassenge,4690,Bassenge,base.be,l10n_be.state_be_wlg
9968_Bassevelde,9968,Bassevelde,base.be,l10n_be.state_be_vov
7830_Bassilly,7830,Bassilly,base.be,l10n_be.state_be_wht
6600_Bastogne,6600,Bastogne,base.be,l10n_be.state_be_wlx
3870_Batsheers,3870,Batsheers,base.be,l10n_be.state_be_vli
4651_Battice,4651,Battice,base.be,l10n_be.state_be_wlg
7130_Battignies,7130,Battignies,base.be,l10n_be.state_be_wht
7331_Baudour,7331,Baudour,base.be,l10n_be.state_be_wht
7870_Bauffe,7870,Bauffe,base.be,l10n_be.state_be_wht
7604_Baugnies,7604,Baugnies,base.be,l10n_be.state_be_wht
1401_Baulers,1401,Baulers,base.be,l10n_be.state_be_wbr
9520_Bavegem,9520,Bavegem,base.be,l10n_be.state_be_vov
8531_Bavikhove,8531,Bavikhove,base.be,l10n_be.state_be_vwv
9150_Bazel,9150,Bazel,base.be,l10n_be.state_be_vov
4052_Beaufays,4052,Beaufays,base.be,l10n_be.state_be_wlg
6500_Beaumont,6500,Beaumont,base.be,l10n_be.state_be_wht
5570_Beauraing,5570,Beauraing,base.be,l10n_be.state_be_wna
6980_Beausaint,6980,Beausaint,base.be,l10n_be.state_be_wlx
1320_Beauvechain,1320,Beauvechain,base.be,l10n_be.state_be_wbr
6594_Beauwelz,6594,Beauwelz,base.be,l10n_be.state_be_wht
7532_Beclers,7532,Béclers,base.be,l10n_be.state_be_wht
3960_Beek,3960,Beek,base.be,l10n_be.state_be_vli
9630_Beerlegem,9630,Beerlegem,base.be,l10n_be.state_be_vov
8730_Beernem,8730,Beernem,base.be,l10n_be.state_be_vwv
2340_Beerse,2340,Beerse,base.be,l10n_be.state_be_van
1650_Beersel,1650,Beersel,base.be,l10n_be.state_be_vbr
8600_Beerst,8600,Beerst,base.be,l10n_be.state_be_vwv
1673_Beert,1673,Beert,base.be,l10n_be.state_be_vbr
9080_Beervelde,9080,Beervelde,base.be,l10n_be.state_be_vov
2580_Beerzel,2580,Beerzel,base.be,l10n_be.state_be_van
5000_Beez,5000,Beez,base.be,l10n_be.state_be_wna
6987_Beffe,6987,Beffe,base.be,l10n_be.state_be_wlx
